name,external_id
Car dealer,car_dealer
Car detailing service,car_detailing_service
Car factory,car_factory
Car finance and loan company,car_finance_and_loan_company
Car inspection station,car_inspection_station
Car leasing service,car_leasing_service
Car manufacturer,car_manufacturer
Car racing track,car_race_track
Car rental agency,car_rental_agency
Car repair and maintenance service,car_repair
Car security system installer,car_security_system_installer
Car sharing location,car_sharing_location
Car stereo store,car_stereo_store
Car wash,car_wash
Carabinieri police,carabinieri_police
Cardiologist,cardiologist
Cardiovascular and thoracic surgeon,cardiovascular_and_thoracic_surgeon
Career guidance service,career_guidance_service
Caribbean restaurant,caribbean_restaurant
Carnival club,carnival_club
Carpenter,carpenter
Carpet cleaning service,carpet_cleaning_service
Carpet installer,carpet_installer
Carpet manufacturer,carpet_manufacturer
Carpet store,carpet_store
Carpet wholesaler,carpet_wholesaler
Carpooling location,carpool
Carport and pergola builder,carport_and_pergola_builder
Carriage ride service,carriage_ride_service
Carvery,carvery_restaurant
Cash and carry wholesaler,cash_and_carry_wholesaler
Casino,casino
Casket service,casket_service
Castilian restaurant,castilian_restaurant
Castle,castle
Cat boarding service,cat_boarding_service
Cat breeder,cat_breeder
Cat café,cat_cafe
Cat trainer,cat_trainer
Catalonian restaurant,catalonian_restaurant
Caterer,catering_service
Catering food and drink supplier,catering_food_and_drink_supplies
Cathedral,cathedral
Catholic cathedral,catholic_cathedral
Catholic church,catholic_church
Catholic school,catholic_school
Cattery,cattery
Cattle farm,cattle_farm
Cattle market,cattle_market
Caucasian restaurant,caucasian_restaurant
Ceiling supplier,ceiling_supplier
Cell phone accessory store,cell_phone_accessory_store
Cell phone charging station,cell_phone_charging_station
Cell phone store,cell_phone_store
Cement manufacturer,cement_manufacturer
Cement supplier,cement_supplier
Cemetery,cemetery
Cendol restaurant,cendol_restaurant
Central American restaurant,central_american_restaurant
Central European restaurant,central_european_restaurant
Central Javanese restaurant,central_javanese_restaurant
Central authority,central_authority
Central bank,central_bank
Ceramic manufacturer,ceramic_manufacturer
Ceramics wholesaler,ceramics_wholesaler
Certification agency,certification_agency
Certified public accountant,certified_public_accountant
Cha chaan teng (Hong Kong-style cafe),hong_kong_style_cafe
Chalet,chalet
Chamber of Commerce,chamber_of_commerce
Chamber of agriculture,chamber_of_agriculture
Chamber of handicrafts,chamber_of_handicrafts
Champon noodle restaurant,champon_noodle_restaurant
Chanko restaurant,chankonabe_restaurant
Chapel,chapel
Charcuterie,charcuterie
Charity,charity
Charter school,charter_school
Chartered accountant,chartered_accountant
Chartered surveyor,building_surveyor
Chauffeur service,car_service
Check cashing service,check_cashing_service
Cheese manufacturer,cheese_manufacturer
Cheese shop,cheese_shop
Cheesesteak restaurant,cheesesteak_restaurant
Chemical engineering,chemical_engineer
Chemical exporter,chemical_exporter
Chemical manufacturer,chemical_manufacturer
Chemical plant,chemical_plant
Chemical wholesaler,chemical_wholesaler
Chemistry lab,chemistry_lab
Chesapeake restaurant,chesapeake_restaurant
Chess and card club,chess_and_card_club
Chess club,chess_club
Chess instructor,chess_instructor
Chettinad restaurant,chettinad_restaurtant
Chevrolet dealer,chevrolet_dealer
Chicken hatchery,chicken_hatchery
Chicken restaurant,chicken_restaurant
Chicken shop,chicken_shop
Chicken wings restaurant,chicken_wings_restaurant
Child care agency,child_care_agency
Child health care centre,child_health_care_centre
Child psychiatrist,child_psychiatrist
Child psychologist,child_psychologist
Childbirth class,childbirth_class
Childminder,babysitter
Children Policlinic,children_policlinic
Children hall,children_hall
Children's amusement center,children_amusement_center
Children's clothing store,childrens_clothing_store
Children's furniture store,childrens_furniture_store
Children's hospital,childrens_hospital
Children's museum,childrens_museum
Children's party service,childrens_party_service
Childrens book store,childrens_book_store
Childrens cafe,childrens_cafe
Childrens club,childrens_club
Childrens farm,childrens_farm
Childrens home,childrens_home
Childrens library,childrens_library
Childrens party buffet,childrens_party_buffet
Childrens store,childrens_store
Childrens theater,childrens_theater
Children’s Camp,camp
Chilean restaurant,chilean_restaurant
Chimney services,chimney_services
Chimney sweep,chimney_sweep
Chinaware store,chinaware_store
Chinese bakery,chinese_pastry
Chinese language instructor,chinese_language_instructor
Chinese language school,chinese_language_school
Chinese medicine clinic,chinese_medicine_clinic
Chinese medicine store,chinese_medicine_store
