name,external_id,category_id
Auto radiator repair service,auto_radiator_repair_service,6cf3c2e5-d0bf-49a4-b74b-18aeef134fa8
Auto repair shop,auto_repair_shop,addf696b-6b1d-4e39-9901-5cc17a2addcd
Auto restoration service,auto_restoration_service,da67f4d8-29f0-4a36-b770-b0e0408b5c9b
Auto rickshaw stand,auto_rickshaw_stand,8524ea2e-877f-43a0-9cd8-880b3ffd39ea
Auto spring shop,auto_spring_shop,e26785e5-bc92-43fa-95b7-6a78af7aa45e
Auto sunroof shop,auto_sunroof_shop,7cc1311c-2fbc-484f-b49b-343d469e3ca6
Auto tag agency,auto_tag_agency,a43745aa-2ff5-442d-8d29-9300bf3bd0d9
Auto tune up service,auto_tune_up_service,7b201adf-c142-49f5-a44d-c695d59e6736
Auto upholsterer,auto_upholsterer,08a0c476-fe0a-4427-b129-f85b781473b8
Auto window tinting service,auto_window_tinting_service,d34a2778-6b19-4d32-8430-7eeb1f111aa8
Auto wrecker,auto_wrecker,58eb6570-aa12-4763-8524-e85c886c2799
Automation company,automation_company,243671aa-dbbd-4e22-926a-73ff24689efe
Automobile storage facility,automobile_storage_facility,e58dfb33-fa27-42e7-aab7-86e5c5f0127e
Aviation consultant,aviation_consultant,e46cb99c-f94a-451a-86ff-114d5de52428
Aviation training institute,aviation_training_institute,b2cf40ac-d99b-4196-9022-5cf75538bb93
Awadhi restaurant,awadhi_restaurant,de8fabbb-2f72-46e4-b975-c27e8d124ab0
Awning supplier,awning_supplier,aef791e9-7ecb-40cd-82e8-8577001a292c
Ayam penyet restaurant,ayam_penyet_restaurant,cf2c853d-73b3-4f73-9e63-f6ce7c2303bc
Ayurvedic clinic,ayurvedic_clinic,dc573cad-75f7-4681-8171-38ae86b6f9af
Azerbaijani Restaurant,azerbaijani_restaurant,064eefc3-8094-4d28-ad9a-299453a17743
Açaí shop,acai_shop,dcf7144d-bc0b-4e50-9952-eda3c1423783
BBQ area,bbq_area,2ff369cb-eb61-4bf6-94fe-57a33be8546f
BMW dealer,bmw_dealer,9adfc03a-e940-4cfe-bc7f-8c1168704109
BMW motorcycle dealer,bmw_motorcycle_dealer,acd4d129-5938-4494-877e-55d609860c16
BMX club,bmx_club,367cd4c0-6cb2-486f-b4f2-b40fadb56a84
BMX park,bmx_park,6b9d13e0-710a-4cfd-bc87-ea5e42f5bad2
BMX track,bmx_track,c580c277-414c-4ccd-ab17-c2653a943d28
BPO company,bpo_company,28b79fda-9aab-4f3f-9b30-014f766bbff5
BPO placement agency,bpo_placement_agency,55d98611-5a14-4d88-8354-057e446c6f75
Baby clothing store,baby_clothing_store,013147d7-fd2e-4461-89b1-2d9bfb7db016
Baby store,baby_store,74f466f3-f29d-484d-bfea-2d36fd0ca062
Baby swimming school,baby_swimming_school,259b5d42-761c-4c23-b393-3a070708aea1
Baden restaurant,baden_restaurant,f07c063a-de52-4144-bac2-852fbcb27b8b
Badminton club,badminton_club,ab4f8097-5b41-4104-80a3-7acf14a5eb6b
Badminton complex,badminton_complex,a43f9873-fe6a-4eee-888d-7f23badecf66
Badminton court,badminton_court,57aead9f-07bb-4e84-a7e5-ee16c0346ed3
Bag shop,bag_shop,68b03a4c-9f8a-4932-8406-2ac94ddeaf65
Bagel shop,bagel_shop,1ab36a40-1b53-4609-966e-77339e5573fd
Bahá'í house of worship,bahai_house_of_worship,78e2ed7a-7859-4e6b-967e-c9eaaaa055e4
Bail bonds service,bail_bonds_service,0790c8b1-6dd5-468d-91b4-853859728e1c
Bait shop,bait_shop,b5ecea7c-cf53-4f3d-aa97-4471308cb13a
Bakery,bakery,9910dcac-1c9e-449c-9a3b-4194e5741b64
Bakery equipment,bakery_equipment,668feaf2-88c5-475b-ba47-d6dc188a3781
Baking supply store,baking_supply_store,5fe78576-b575-45b4-95f9-d3dbd843989d
Bakso restaurant,bakso_restaurant,2f1bf1a4-04d0-4b74-9620-a7fc381639fe
Balinese restaurant,balinese_restaurant,f1199969-463a-42c9-b94b-a3542541ab6f
Ballet school,ballet_school,4af63efe-aeb8-43a5-a121-9181671a42be
Ballet theater,ballet_theater,b6133495-ea73-483a-9733-73602ab74097
Balloon artist,balloon_artist,3c2e80c9-c3a9-4e2a-be6e-769fb785be81
Balloon ride tour agency,balloon_ride_tour_agency,e2d00bbe-305c-463a-9721-e6110667be34
Balloon store,balloon_store,63f13e6b-60bc-404a-9443-c239d61cbe08
Ballroom dance instructor,ballroom_dance_instructor,e44126f3-5267-499e-bfa9-8f1da83806d9
Band,band,f5fc576b-aa50-4549-ad13-df7051bbc9a6
Bangladeshi restaurant,bangladeshi_restaurant,dc77e008-f574-481a-982f-64666f1888bb
Bangle Shop,bangle_shop,294dfec6-7503-4831-bc16-4d3e554429ca
Bank,bank,b18dac44-5224-4468-a78a-0b1e519c59b3
Bankruptcy attorney,bankruptcy_attorney,edfa8c6d-c9c6-4ca2-af53-ef7eb4ab8868
Bankruptcy service,bankruptcy_service,fd83a081-2c92-4477-b354-bd296130e18e
Banner store,banner_store,a6b579f5-baa2-4963-8879-246e2e54d130
Banquet hall,banquet_hall,15112379-e068-483e-a562-c9f0598c3164
Baptist church,baptist_church,0644967e-08ec-4dde-ab74-e55e634dd081
Bar,bar,46c65703-6c60-47a9-813e-4fe617db007c
Bar & grill,bar_and_grill,dc96d551-9037-4800-911e-9429731106d6
Bar PMU,bar_pmu,8e9e0db7-7c2c-47e6-a761-e1f8fb34b257
Bar restaurant furniture store,bar_restaurant_furniture_store,f812d753-6784-4ab7-8818-7e9a6e14fd05
Bar stool supplier,bar_stool_supplier,a60c789e-f227-486e-9eb6-dc30c246744b
Bar tabac,bar_tabac,004bc02f-e519-4198-b178-2de9669e8747
Barbecue area,barbecue_spots,12644856-d75d-4b4d-8871-c251b453fa3c
Barbecue restaurant,barbecue_restaurant,40093783-d193-4cec-9767-361f9eccd8f2
Barber school,barber_school,36811568-c79a-4eb5-a4ae-5f6d86bc6ca5
